skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:51:28Z
quality-playbook	github/awesome-copilot	2026-08-05T21:51:28Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:51:28Z
refactor	github/awesome-copilot	2026-08-05T21:51:28Z
code-review	getsentry/skills	2026-08-05T21:51:28Z
code-simplifier	getsentry/skills	2026-08-05T21:51:28Z
find-bugs	getsentry/skills	2026-08-05T21:51:28Z
security-threat-model	openai/skills	2026-08-05T21:51:28Z
supabase	supabase/agent-skills	2026-08-05T21:51:28Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:51:28Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:51:28Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:51:28Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:51:28Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:51:28Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:51:28Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:51:28Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:51:28Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:51:28Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:51:28Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:51:28Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:51:28Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:51:28Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:51:28Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:51:28Z
api-design-principles	wshobson/agents	2026-08-05T21:51:28Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:51:28Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:51:28Z
error-handling-patterns	wshobson/agents	2026-08-05T21:51:28Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:51:28Z
secrets-management	wshobson/agents	2026-08-05T21:51:28Z
sast-configuration	wshobson/agents	2026-08-05T21:51:28Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:51:28Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:51:28Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:51:28Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:51:28Z
