old_filename,new_filename
001_batch1_saas_foundation.sql,20260701000100_batch1_saas_foundation.sql
002_auth_onboarding_account_types.sql,20260701000200_auth_onboarding_account_types.sql
003_subscription_plan_foundation.sql,20260701000300_subscription_plan_foundation.sql
004_universal_core_access_and_deals.sql,20260701000400_universal_core_access_and_deals.sql
005_admin_access_and_financial_engine.sql,20260701000500_admin_access_and_financial_engine.sql
006_editable_formula_assumptions_and_snapshots.sql,20260701000600_editable_formula_assumptions_and_snapshots.sql
007_assumption_templates_rent_intelligence_hud.sql,20260701000700_assumption_templates_rent_intelligence_hud.sql
008_hud_2026_zillow_deal_assumptions.sql,20260701000800_hud_2026_zillow_deal_assumptions.sql
009_hud_zip_resolution_and_rent_guardrails.sql,20260701000900_hud_zip_resolution_and_rent_guardrails.sql
010_hud_zillow_analyzer_production_fix.sql,20260701001000_hud_zillow_analyzer_production_fix.sql
011_smart_rent_delete_market_imports.sql,20260701001100_smart_rent_delete_market_imports.sql
012_market_opportunities_core.sql,20260701001200_market_opportunities_core.sql
013_market_source_connectors_and_scoring_fix.sql,20260701001300_market_source_connectors_and_scoring_fix.sql
014_scheduled_market_imports_and_delete_policies.sql,20260701001400_scheduled_market_imports_and_delete_policies.sql
015_source_worker_v2_market_ui.sql,20260701001500_source_worker_v2_market_ui.sql
016_buy_boxes_saved_deals_market_ux.sql,20260701001600_buy_boxes_saved_deals_market_ux.sql
017_batch_12g2_12h_buyers_matching_quality.sql,20260701001700_batch_12g2_12h_buyers_matching_quality.sql
017_community_invites_signup_codes.sql,20260701001800_community_invites_signup_codes.sql
018_batch_12i_import_queue_notifications_review.sql,20260701001900_batch_12i_import_queue_notifications_review.sql
019_batch_12i1_zillow_live_import_policy.sql,20260701002000_batch_12i1_zillow_live_import_policy.sql
019_batch_12i2_multi_provider_rent_controls_no_demo.sql,20260701002100_batch_12i2_multi_provider_rent_controls_no_demo.sql
020_batch_12i2_import_flow_and_provider_policy_fix.sql,20260701002200_batch_12i2_import_flow_and_provider_policy_fix.sql
021_score_rent_sync_market_listings.sql,20260701002300_score_rent_sync_market_listings.sql
022_market_analysis_input_sync.sql,20260701002400_market_analysis_input_sync.sql
023_opportunity_thresholds_and_backfill.sql,20260701002500_opportunity_thresholds_and_backfill.sql
024_market_import_job_type_policy_fix.sql,20260701002600_market_import_job_type_policy_fix.sql
025_admin_subscription_plan_polish.sql,20260701002700_admin_subscription_plan_polish.sql
025_freemium_admin_community_batch.sql,20260701002800_freemium_admin_community_batch.sql
025_import_engine_scoring_investorlift_fix.sql,20260701002900_import_engine_scoring_investorlift_fix.sql
026_investorlift_live_import_policy.sql,20260701003000_investorlift_live_import_policy.sql
026_trial_access_member_overrides.sql,20260701003100_trial_access_member_overrides.sql
027_listing_messages_notifications_ui.sql,20260701003200_listing_messages_notifications_ui.sql
028_listing_contact_settings_backfill.sql,20260701003300_listing_contact_settings_backfill.sql
029_import_engine_quality_hardening.sql,20260701003400_import_engine_quality_hardening.sql
030_import_runtime_stability_fix.sql,20260701003500_import_runtime_stability_fix.sql
031_direct_import_and_deal_file_uploads.sql,20260701003600_direct_import_and_deal_file_uploads.sql
032_canonical_url_import_runtime_fix.sql,20260701003700_canonical_url_import_runtime_fix.sql
033_batch_stripe_billing_and_parser_intelligence.sql,20260701003800_batch_stripe_billing_and_parser_intelligence.sql
034_production_hardening.sql,20260701003900_production_hardening.sql
035_onboarding_workspace_fields.sql,20260701004000_onboarding_workspace_fields.sql
036_flip_holding_months.sql,20260701004100_flip_holding_months.sql
037_community_invite_roles_and_moderation.sql,20260701004200_community_invite_roles_and_moderation.sql
